title,actor,actress
Dan in Real Life,"Carell, Steve","Binoche, Juliette"
Danny Collins,"Pacino, Al","Bening, Annette"
Daredevil,"Affleck, Ben","Garner, Jennifer"
Dark Shadows,"Depp, Johnny","Pfeiffer, Michelle"
Dark Skies,"Hamilton, Josh","Russell, Keri"
Dark Water,"Reilly, John C.","Connelly, Jennifer"
Darkness Falls,"Kley, Chaney","Caulfield, Emma"
Date Movie,"Campbell, Adam","Hannigan, Alyson"
Date Night,"Carell, Steve","Fey, Tina"
Dawn of the Dead,"Rhames, Ving","Polley, Sarah"
Day of the Dead,"Cannon, Nick","Suvari, Mena"
Dead End,"Wise, Ray","Shaye, Lin"
Dead Man Down,"Farrell, Colin","Rapace, Noomi"
Dead Silence,"Kwanten, Ryan","Valletta, Amber"
Deadfall,"Bana, Eric","Wilde, Olivia"
Dear John,"Tatum, Channing","Seyfried, Amanda"
Dear White People,"Williams, Tyler James","Thompson, Tessa"
Death at a Funeral,"Macfadyen, Matthew","Hawes, Keeley"
Death at a Funeral,"David, Keith","Devine, Loretta"
Death Proof,"Russell, Kurt","Bell, Zoë"
Death Race,"Statham, Jason","Allen, Joan"
Deja Vu,"Washington, Denzel","Patton, Paula"
Despicable Me 2,"Carell, Steve","Wiig, Kristen"
Detachment,"Brody, Adrien","Harden, Marcia Gay"
Devil's Due,"Gilford, Zach","Miller, Allison"
Devil's Knot,"Firth, Colin","Witherspoon, Reese"
Diary of a Mad Black Woman,"Harris, Steve","Elise, Kimberly"
Diary of the Dead,"Close, Joshua","Morgan, Michelle"
Dickie Roberts: Former Child Star,"Spade, David","McCormack, Mary"
Did You Hear About the Morgans?,"Grant, Hugh","Parker, Sarah Jessica"
Die Another Day,"Brosnan, Pierce","Berry, Halle"
Dinosaur,"Sweeney, D.B.","Woodard, Alfre"
Dirty Dancing: Havana Nights,"Luna, Diego","Garai, Romola"
Disaster Movie,"Lanter, Matt","Lachey, Vanessa"
Disconnect,"Bateman, Jason","Davis, Hope"
Disturbia,"LaBeouf, Shia","Roemer, Sarah"
Divergent,"James, Theo","Woodley, Shailene"
Dodgeball: A True Underdog Story,"Vaughn, Vince","Taylor, Christine"
Dolphin Tale,"Connick Jr., Harry","Judd, Ashley"
Domino,"Rourke, Mickey","Knightley, Keira"
Don Jon,"Gordon-Levitt, Joseph","Johansson, Scarlett"
Don't Be Afraid of the Dark,"Pearce, Guy","Holmes, Katie"
Doom,"Urban, Karl","Pike, Rosamund"
Doubt,"Hoffman, Philip Seymour","Streep, Meryl"
Down in the Valley,"Norton, Edward","Wood, Evan Rachel"
Down to Earth,"Rock, Chris","King, Regina"
